edge_id,src,dst,kind,contract,relation
e00032,ecommerce.product,ecommerce.product_interface,source,ecommerce.product@1,ecommerce.product
e00033,ecommerce.relatio_customer,ecommerce.customer,source,ecommerce.relatio_customer@1,ecommerce.relatio_customer
e00034,ecommerce.relatio_customer_extract,ecommerce.relatio_customer,source,ecommerce.relatio_customer_extract@1,ecommerce.relatio_customer_extract
e00035,investment.chrono_cash_flow,investment.fund_cash_flow_conformed,source,investment.chrono_cash_flow@1,investment.chrono_cash_flow
e00036,investment.chrono_cash_flow_extract,investment.chrono_cash_flow,source,investment.chrono_cash_flow_extract@1,investment.chrono_cash_flow_extract
e00037,investment.chrono_fund,investment.fund_conformed,source,investment.chrono_fund@1,investment.chrono_fund
e00038,investment.chrono_fund_extract,investment.chrono_fund,source,investment.chrono_fund_extract@1,investment.chrono_fund_extract
e00039,investment.chrono_fund_extract,investment.chrono_gp,source,investment.chrono_fund_extract@1,investment.chrono_fund_extract
e00040,investment.chrono_gp,investment.gp_conformed,source,investment.chrono_gp@1,investment.chrono_gp
e00041,investment.chrono_portfolio_company,investment.portfolio_company_conformed,source,investment.chrono_portfolio_company@1,investment.chrono_portfolio_company
e00042,investment.chrono_portfolio_company_extract,investment.chrono_portfolio_company,source,investment.chrono_portfolio_company_extract@1,investment.chrono_portfolio_company_extract
e00043,investment.chrono_valuation,investment.holding_valuation_conformed,source,investment.chrono_valuation@1,investment.chrono_valuation
e00044,investment.chrono_valuation_extract,investment.chrono_valuation,source,investment.chrono_valuation_extract@1,investment.chrono_valuation_extract
e00045,investment.company_external_index,investment.deal_conformed,lookup,investment.company_external_index@1,investment.company_external_index
e00046,investment.deal_conformed,investment.deal_vault,source,investment.deal_conformed@1,investment.deal_conformed
e00047,investment.deal_decision_current,investment.deal_decision_queue,source,investment.deal_decision_current@1,investment.deal_decision_current
e00048,investment.deal_decision_current,investment.deal_review_worklist,lookup,investment.deal_decision_current@1,investment.deal_decision_current
e00049,investment.deal_decision_log,investment.deal_decision_current,source,investment.deal_decision_log@1,investment.deal_decision_log
e00050,investment.deal_vault,investment.deal_canonical,source,investment.deal_vault@1,investment.deal_vault__golden_deal
e00051,investment.deal_vault,investment.deal_decision_queue,lookup,investment.deal_vault@1,investment.deal_vault__golden_deal
e00052,investment.deal_vault,investment.deal_review_worklist,source,investment.deal_vault@1,investment.deal_vault__golden_deal
e00053,investment.fund_conformed,investment.fund_cash_flow_conformed,lookup,investment.fund_conformed@1,investment.fund_conformed
e00054,investment.fund_conformed,investment.fund_investment_basis,source,investment.fund_conformed@1,investment.fund_conformed
e00055,investment.fund_conformed,investment.fund_vault,source,investment.fund_conformed@1,investment.fund_conformed
e00056,investment.fund_conformed,investment.holding_valuation_conformed,lookup,investment.fund_conformed@1,investment.fund_conformed
e00057,investment.fund_conformed,investment.legal_vehicle_conformed,lookup,investment.fund_conformed@1,investment.fund_conformed
e00058,investment.fund_external_index,investment.deal_conformed,lookup,investment.fund_external_index@1,investment.fund_external_index
e00059,investment.fund_investment_basis,investment.fund_nav_resolved,lookup,investment.fund_investment_basis@1,investment.fund_investment_basis
e00060,investment.fund_nav_resolved,investment.fund_performance,source,investment.fund_nav_resolved@1,investment.fund_nav_resolved
e00061,investment.fund_performance,investment.fund_performance_summary,source,investment.fund_performance@1,investment.fund_performance
e00062,investment.fund_vault,investment.fund_canonical,source,investment.fund_vault@1,investment.fund_vault__golden_fund
e00063,investment.fund_vault,investment.fund_external_index,source,investment.fund_vault@1,investment.fund_vault__golden_fund
e00064,investment.gp_conformed,investment.gp_name_index,source,investment.gp_conformed@1,investment.gp_conformed
e00065,investment.gp_conformed,investment.gp_succession,lookup,investment.gp_conformed@1,investment.gp_conformed
e00066,investment.gp_conformed,investment.gp_vault,source,investment.gp_conformed@1,investment.gp_conformed
e00067,investment.gp_name_index,investment.fund_conformed,lookup,investment.gp_name_index@1,investment.gp_name_index
e00068,investment.gp_vault,investment.gp_canonical,source,investment.gp_vault@1,investment.gp_vault__golden_gp
e00069,investment.legal_vehicle_conformed,investment.legal_vehicle_cash_flow,lookup,investment.legal_vehicle_conformed@1,investment.legal_vehicle_conformed
e00070,investment.legal_vehicle_conformed,investment.legal_vehicle_vault,source,investment.legal_vehicle_conformed@1,investment.legal_vehicle_conformed
e00071,investment.legal_vehicle_vault,investment.legal_vehicle_canonical,source,investment.legal_vehicle_vault@1,investment.legal_vehicle_vault__golden_legal_vehicle
e00072,investment.meridex_cash_flow,investment.fund_cash_flow_conformed,source,investment.meridex_cash_flow@1,investment.meridex_cash_flow
e00073,investment.meridex_cash_flow_extract,investment.meridex_cash_flow,source,investment.meridex_cash_flow_extract@1,investment.meridex_cash_flow_extract
e00074,investment.meridex_fund,investment.fund_conformed,source,investment.meridex_fund@1,investment.meridex_fund
e00075,investment.meridex_fund_extract,investment.meridex_fund,source,investment.meridex_fund_extract@1,investment.meridex_fund_extract
e00076,investment.meridex_fund_extract,investment.meridex_gp,source,investment.meridex_fund_extract@1,investment.meridex_fund_extract
e00077,investment.meridex_fund_nav,investment.fund_nav_resolved,source,investment.meridex_fund_nav@1,investment.meridex_fund_nav
e00078,investment.meridex_fund_nav_extract,investment.meridex_fund_nav,source,investment.meridex_fund_nav_extract@1,investment.meridex_fund_nav_extract
e00079,investment.meridex_gp,investment.gp_conformed,source,investment.meridex_gp@1,investment.meridex_gp
e00080,investment.meridex_legal_vehicle,investment.legal_vehicle_conformed,source,investment.meridex_legal_vehicle@1,investment.meridex_legal_vehicle
e00081,investment.meridex_legal_vehicle_extract,investment.meridex_legal_vehicle,source,investment.meridex_legal_vehicle_extract@1,investment.meridex_legal_vehicle_extract
e00082,investment.meridex_portfolio_company,investment.portfolio_company_conformed,source,investment.meridex_portfolio_company@1,investment.meridex_portfolio_company
e00083,investment.meridex_portfolio_company_extract,investment.meridex_portfolio_company,source,investment.meridex_portfolio_company_extract@1,investment.meridex_portfolio_company_extract
e00084,investment.origo_deal,investment.deal_conformed,source,investment.origo_deal@1,investment.origo_deal
e00085,investment.origo_deal_extract,investment.origo_deal,source,investment.origo_deal_extract@1,investment.origo_deal_extract
e00086,investment.portfolio_company_conformed,investment.portfolio_company_vault,source,investment.portfolio_company_conformed@1,investment.portfolio_company_conformed
e00087,investment.portfolio_company_vault,investment.company_external_index,source,investment.portfolio_company_vault@1,investment.portfolio_company_vault__golden_portfolio_company
e00088,investment.portfolio_company_vault,investment.portfolio_company_canonical,source,investment.portfolio_company_vault@1,investment.portfolio_company_vault__golden_portfolio_company
e00089,investment.portiq_cash_flow,investment.fund_cash_flow_conformed,source,investment.portiq_cash_flow@1,investment.portiq_cash_flow
e00090,investment.portiq_cash_flow_extract,investment.portiq_cash_flow,source,investment.portiq_cash_flow_extract@1,investment.portiq_cash_flow_extract
e00091,investment.portiq_fund,investment.fund_conformed,source,investment.portiq_fund@1,investment.portiq_fund
e00092,investment.portiq_fund_extract,investment.portiq_fund,source,investment.portiq_fund_extract@1,investment.portiq_fund_extract
e00093,investment.portiq_fund_extract,investment.portiq_gp,source,investment.portiq_fund_extract@1,investment.portiq_fund_extract
e00094,investment.portiq_gp,investment.gp_conformed,source,investment.portiq_gp@1,investment.portiq_gp
e00095,investment.portiq_portfolio_company,investment.portfolio_company_conformed,source,investment.portiq_portfolio_company@1,investment.portiq_portfolio_company
e00096,investment.portiq_portfolio_company_extract,investment.portiq_portfolio_company,source,investment.portiq_portfolio_company_extract@1,investment.portiq_portfolio_company_extract
e00097,investment.vantora_cash_flow,investment.fund_cash_flow_conformed,source,investment.vantora_cash_flow@1,investment.vantora_cash_flow
e00098,investment.vantora_cash_flow_extract,investment.vantora_cash_flow,source,investment.vantora_cash_flow_extract@1,investment.vantora_cash_flow_extract
e00099,investment.vantora_fund,investment.fund_conformed,source,investment.vantora_fund@1,investment.vantora_fund
e00100,investment.vantora_fund_extract,investment.vantora_fund,source,investment.vantora_fund_extract@1,investment.vantora_fund_extract
e00101,investment.vantora_gp,investment.gp_conformed,source,investment.vantora_gp@1,investment.vantora_gp
e00102,investment.vantora_gp_extract,investment.vantora_gp,source,investment.vantora_gp_extract@1,investment.vantora_gp_extract
e00103,investment.vantora_gp_succession,investment.gp_succession,source,investment.vantora_gp_succession@1,investment.vantora_gp_succession
e00104,investment.vantora_legal_vehicle,investment.legal_vehicle_conformed,source,investment.vantora_legal_vehicle@1,investment.vantora_legal_vehicle
e00105,investment.vantora_legal_vehicle_extract,investment.vantora_legal_vehicle,source,investment.vantora_legal_vehicle_extract@1,investment.vantora_legal_vehicle_extract
e00106,investment.vantora_portfolio_company,investment.portfolio_company_conformed,source,investment.vantora_portfolio_company@1,investment.vantora_portfolio_company
e00107,investment.vantora_portfolio_company_extract,investment.vantora_portfolio_company,source,investment.vantora_portfolio_company_extract@1,investment.vantora_portfolio_company_extract
e00108,investment.vantora_succession_event_extract,investment.vantora_gp_succession,source,investment.vantora_succession_event_extract@1,investment.vantora_succession_event_extract
e00109,investment.vantora_valuation,investment.holding_valuation_conformed,source,investment.vantora_valuation@1,investment.vantora_valuation
e00110,investment.vantora_valuation_extract,investment.vantora_valuation,source,investment.vantora_valuation_extract@1,investment.vantora_valuation_extract
e00111,investment.vantora_vehicle_cash_flow,investment.legal_vehicle_cash_flow,source,investment.vantora_vehicle_cash_flow@1,investment.vantora_vehicle_cash_flow
e00112,investment.vantora_vehicle_cash_flow_extract,investment.vantora_vehicle_cash_flow,source,investment.vantora_vehicle_cash_flow_extract@1,investment.vantora_vehicle_cash_flow_extract
e00113,reference.benchmark_index,investment.fund_performance,lookup,reference.benchmark_index@1,reference.benchmark_index
e00114,reference.benchmark_index_returns,reference.benchmark_index,source,reference.benchmark_index_returns@1,reference.benchmark_index_returns
e00115,reference.customer_identity,ecommerce.customer,lookup,reference.customer_identity@1,reference.customer_identity
e00116,reference.customer_overlap_manifest,reference.customer_identity,source,reference.customer_overlap_manifest@1,reference.customer_overlap_manifest
e00117,reference.customer_segment,ecommerce.order_star,lookup,reference.customer_segment@1,reference.customer_segment
e00118,reference.customer_segment_history,reference.customer_segment,source,reference.customer_segment_history@1,reference.customer_segment_history
e00119,reference.deal_identity,investment.deal_vault,lookup,reference.deal_identity@1,reference.deal_identity
e00120,reference.deal_overlap_manifest,reference.deal_identity,source,reference.deal_overlap_manifest@1,reference.deal_overlap_manifest
e00121,reference.deal_stage,reference.deal_stage_current,source,reference.deal_stage@1,reference.deal_stage
e00122,reference.deal_stage_current,investment.deal_review_worklist,lookup,reference.deal_stage_current@1,reference.deal_stage_current
e00123,reference.deal_stage_history,reference.deal_stage,source,reference.deal_stage_history@1,reference.deal_stage_history
e00124,reference.fund_department,investment.fund_performance,lookup,reference.fund_department@1,reference.fund_department
e00125,reference.fund_identity,investment.fund_vault,lookup,reference.fund_identity@1,reference.fund_identity
e00126,reference.fund_overlap_manifest,reference.fund_identity,source,reference.fund_overlap_manifest@1,reference.fund_overlap_manifest
e00127,reference.investment_calendar,investment.fund_performance,lookup,reference.investment_calendar@1,reference.investment_calendar
e00128,reference.investment_calendar_dates,reference.investment_calendar,source,reference.investment_calendar_dates@1,reference.investment_calendar_dates
e00129,reference.investment_classification,reference.deal_stage,lookup,reference.investment_classification@1,reference.investment_classification
e00130,reference.investment_classification,reference.fund_department,lookup,reference.investment_classification@1,reference.investment_classification
e00131,reference.investment_classification_history,reference.fund_department,source,reference.investment_classification_history@1,reference.investment_classification_history
e00132,reference.investment_classification_type,reference.investment_classification,lookup,reference.investment_classification_type@1,reference.investment_classification_type
e00133,reference.investment_classification_value,reference.investment_classification,source,reference.investment_classification_value@1,reference.investment_classification_value
