id,name,domain,layer,profile,shape,generation,relations,materialisation,checkpoint
investment.legal_vehicle_vault,legal_vehicle_vault,investment,silver,integration,data_vault,later,investment.legal_vehicle_vault__hub_legal_vehicle;investment.legal_vehicle_vault__hub_fund;investment.legal_vehicle_vault__link_legal_vehicle_fund;investment.legal_vehicle_vault__sat_legal_vehicle_detail;investment.legal_vehicle_vault__golden_legal_vehicle;investment.legal_vehicle_vault__pit_legal_vehicle,table,true
ecommerce.order_summary,order_summary,ecommerce,gold,serving,declared,later,ecommerce.order_summary,undeclared,false
investment.deal_conformed,deal_conformed,investment,silver,derivation,declared,later,investment.deal_conformed,table,true
investment.fund_performance,fund_performance,investment,silver,derivation,declared,later,investment.fund_performance,table,true
investment.legal_vehicle_canonical,legal_vehicle_canonical,investment,gold,serving,canonical,later,investment.legal_vehicle_canonical__legal_vehicle,undeclared,false
investment.deal_vault,deal_vault,investment,silver,integration,data_vault,later,investment.deal_vault__hub_deal;investment.deal_vault__hub_portfolio_company;investment.deal_vault__hub_fund;investment.deal_vault__link_deal_portfolio_company;investment.deal_vault__link_deal_fund;investment.deal_vault__sat_deal_detail;investment.deal_vault__sat_deal_pipeline;investment.deal_vault__golden_deal;investment.deal_vault__pit_deal,table,true
investment.fund_performance_summary,fund_performance_summary,investment,gold,serving,declared,later,investment.fund_performance_summary,undeclared,false
investment.deal_canonical,deal_canonical,investment,gold,serving,canonical,later,investment.deal_canonical__deal,undeclared,false
investment.deal_decision_queue,deal_decision_queue,investment,gold,serving,declared,later,investment.deal_decision_queue,undeclared,false
investment.deal_review_worklist,deal_review_worklist,investment,gold,serving,declared,later,investment.deal_review_worklist,undeclared,false
