edge_id,product,target_field,source_kind,source_product,source,occurrence,transform
f00043,ecommerce.relatio_customer,customer_email_domain,rule,ecommerce.relatio_customer,customer_email_domain_v1@1,steps[3]:calculated_fields,calculated_fields
f00044,ecommerce.relatio_customer,marketing_consent,expression,ecommerce.relatio_customer,null,steps[3]:calculated_fields,calculated_fields
f00045,ecommerce.relatio_customer,preferred_channel,expression,ecommerce.relatio_customer,null,steps[3]:calculated_fields,calculated_fields
f00046,ecommerce.relatio_customer,buyer_segment,expression,ecommerce.relatio_customer,null,steps[3]:calculated_fields,calculated_fields
f00047,investment.chrono_cash_flow,source_record_id,field,investment.chrono_cash_flow,event_uid,steps[2]:schema_transform,schema_transform
f00048,investment.chrono_cash_flow,source_fund_id,field,investment.chrono_cash_flow,vehicle_code,steps[2]:schema_transform,schema_transform
f00049,investment.chrono_cash_flow,source_cash_flow_on,field,investment.chrono_cash_flow,event_date,steps[2]:schema_transform,schema_transform
f00050,investment.chrono_cash_flow,source_cash_flow_type,field,investment.chrono_cash_flow,event_kind,steps[2]:schema_transform,schema_transform
f00051,investment.chrono_cash_flow,source_direction,field,investment.chrono_cash_flow,investor_direction,steps[2]:schema_transform,schema_transform
f00052,investment.chrono_cash_flow,source_amount_usd,field,investment.chrono_cash_flow,usd_amount,steps[2]:schema_transform,schema_transform
f00053,investment.chrono_cash_flow,source_currency,field,investment.chrono_cash_flow,currency_code,steps[2]:schema_transform,schema_transform
f00054,investment.chrono_cash_flow,cash_flow_source_system,expression,investment.chrono_cash_flow,'chrono',steps[3]:calculated_fields,calculated_fields
f00055,investment.chrono_fund,source_record_id,field,investment.chrono_fund,chrono_row_uid,steps[2]:schema_transform,schema_transform
f00056,investment.chrono_fund,source_fund_id,field,investment.chrono_fund,chrono_vehicle_code,steps[2]:schema_transform,schema_transform
f00057,investment.chrono_fund,source_name,field,investment.chrono_fund,vehicle_display_name,steps[2]:schema_transform,schema_transform
f00058,investment.chrono_fund,source_family_name,field,investment.chrono_fund,vehicle_group_name,steps[2]:schema_transform,schema_transform
f00059,investment.chrono_fund,source_vehicle_type,field,investment.chrono_fund,vehicle_form,steps[2]:schema_transform,schema_transform
f00060,investment.chrono_fund,source_lei,field,investment.chrono_fund,legal_entity_identifier,steps[2]:schema_transform,schema_transform
f00061,investment.chrono_fund,source_external_id,field,investment.chrono_fund,vendor_crosswalk_id,steps[2]:schema_transform,schema_transform
f00062,investment.chrono_fund,source_gp_id,field,investment.chrono_fund,manager_master_code,steps[2]:schema_transform,schema_transform
f00063,investment.chrono_fund,source_gp_name,field,investment.chrono_fund,manager_name_text,steps[2]:schema_transform,schema_transform
f00064,investment.chrono_fund,source_gp_lei,field,investment.chrono_fund,manager_lei,steps[2]:schema_transform,schema_transform
f00065,investment.chrono_fund,source_asset_class,field,investment.chrono_fund,private_market_bucket,steps[2]:schema_transform,schema_transform
f00066,investment.chrono_fund,source_strategy,field,investment.chrono_fund,investment_style,steps[2]:schema_transform,schema_transform
f00067,investment.chrono_fund,source_vintage_year,field,investment.chrono_fund,launch_year,steps[2]:schema_transform,schema_transform
f00068,investment.chrono_fund,source_committed_capital_usd,field,investment.chrono_fund,commitment_amount_usd,steps[2]:schema_transform,schema_transform
f00069,investment.chrono_fund,source_currency,field,investment.chrono_fund,reporting_ccy,steps[2]:schema_transform,schema_transform
f00070,investment.chrono_fund,source_domicile,field,investment.chrono_fund,domicile_iso2,steps[2]:schema_transform,schema_transform
f00071,investment.chrono_fund,source_status,field,investment.chrono_fund,lifecycle_state,steps[2]:schema_transform,schema_transform
f00072,investment.chrono_fund,source_reported_on,field,investment.chrono_fund,snapshot_date,steps[2]:schema_transform,schema_transform
f00073,investment.chrono_fund,fund_source_system,expression,investment.chrono_fund,'chrono',steps[3]:calculated_fields,calculated_fields
f00074,investment.chrono_fund,fund_identity_key,field,investment.chrono_fund,source_record_id,steps[3]:calculated_fields,calculated_fields
f00075,investment.chrono_fund,fund_normalised_name,rule,investment.chrono_fund,investment_normalised_name_v1@1,steps[3]:calculated_fields,calculated_fields
f00076,investment.chrono_fund,fund_normalised_gp_name,rule,investment.chrono_fund,investment_normalised_gp_name_v1@1,steps[3]:calculated_fields,calculated_fields
f00077,investment.chrono_fund,fund_lei,field,investment.chrono_fund,source_lei,steps[3]:calculated_fields,calculated_fields
f00078,investment.chrono_fund,fund_external_id,field,investment.chrono_fund,source_external_id,steps[3]:calculated_fields,calculated_fields
f00079,investment.chrono_fund,fund_gp_lei,field,investment.chrono_fund,source_gp_lei,steps[3]:calculated_fields,calculated_fields
f00080,investment.chrono_gp,source_record_id,field,investment.chrono_gp,chrono_row_uid,steps[2]:schema_transform,schema_transform
f00081,investment.chrono_gp,source_gp_id,field,investment.chrono_gp,manager_master_code,steps[2]:schema_transform,schema_transform
f00082,investment.chrono_gp,source_name,field,investment.chrono_gp,manager_name_text,steps[2]:schema_transform,schema_transform
f00083,investment.chrono_gp,source_lei,field,investment.chrono_gp,manager_lei,steps[2]:schema_transform,schema_transform
f00084,investment.chrono_gp,source_domicile,field,investment.chrono_gp,domicile_iso2,steps[2]:schema_transform,schema_transform
f00085,investment.chrono_gp,source_reported_on,field,investment.chrono_gp,snapshot_date,steps[2]:schema_transform,schema_transform
f00086,investment.chrono_gp,source_external_id,expression,investment.chrono_gp,null,steps[3]:calculated_fields,calculated_fields
f00087,investment.chrono_gp,source_relationship_start_date,expression,investment.chrono_gp,null,steps[3]:calculated_fields,calculated_fields
f00088,investment.chrono_gp,gp_source_system,expression,investment.chrono_gp,'chrono',steps[3]:calculated_fields,calculated_fields
f00089,investment.chrono_gp,gp_identity_key,field,investment.chrono_gp,source_record_id,steps[3]:calculated_fields,calculated_fields
f00090,investment.chrono_gp,gp_normalised_name,rule,investment.chrono_gp,investment_normalised_name_v1@1,steps[3]:calculated_fields,calculated_fields
f00091,investment.chrono_gp,gp_lei,field,investment.chrono_gp,source_lei,steps[3]:calculated_fields,calculated_fields
f00092,investment.chrono_gp,gp_external_id,expression,investment.chrono_gp,null,steps[3]:calculated_fields,calculated_fields
f00093,investment.chrono_portfolio_company,source_company_id,field,investment.chrono_portfolio_company,asset_uid,steps[2]:schema_transform,schema_transform
f00094,investment.chrono_portfolio_company,source_fund_id,field,investment.chrono_portfolio_company,vehicle_code,steps[2]:schema_transform,schema_transform
f00095,investment.chrono_portfolio_company,source_name,field,investment.chrono_portfolio_company,issuer_name_text,steps[2]:schema_transform,schema_transform
f00096,investment.chrono_portfolio_company,source_lei,field,investment.chrono_portfolio_company,issuer_lei,steps[2]:schema_transform,schema_transform
f00097,investment.chrono_portfolio_company,source_external_id,field,investment.chrono_portfolio_company,vendor_company_id,steps[2]:schema_transform,schema_transform
f00098,investment.chrono_portfolio_company,source_sector,field,investment.chrono_portfolio_company,industry_group,steps[2]:schema_transform,schema_transform
f00099,investment.chrono_portfolio_company,source_sub_sector,field,investment.chrono_portfolio_company,industry_detail,steps[2]:schema_transform,schema_transform
f00100,investment.chrono_portfolio_company,source_country,field,investment.chrono_portfolio_company,country_iso2,steps[2]:schema_transform,schema_transform
f00101,investment.chrono_portfolio_company,source_status,field,investment.chrono_portfolio_company,holding_status,steps[2]:schema_transform,schema_transform
f00102,investment.chrono_portfolio_company,source_reported_on,field,investment.chrono_portfolio_company,first_reported_on,steps[2]:schema_transform,schema_transform
f00103,investment.chrono_portfolio_company,source_record_id,field,investment.chrono_portfolio_company,source_company_id,steps[3]:calculated_fields,calculated_fields
f00104,investment.chrono_portfolio_company,company_source_system,expression,investment.chrono_portfolio_company,'chrono',steps[3]:calculated_fields,calculated_fields
f00105,investment.chrono_portfolio_company,company_identity_key,field,investment.chrono_portfolio_company,source_company_id,steps[3]:calculated_fields,calculated_fields
f00106,investment.chrono_portfolio_company,company_normalised_name,rule,investment.chrono_portfolio_company,investment_normalised_name_v1@1,steps[3]:calculated_fields,calculated_fields
f00107,investment.chrono_portfolio_company,company_lei,field,investment.chrono_portfolio_company,source_lei,steps[3]:calculated_fields,calculated_fields
f00108,investment.chrono_portfolio_company,company_external_id,field,investment.chrono_portfolio_company,source_external_id,steps[3]:calculated_fields,calculated_fields
f00109,investment.chrono_valuation,source_record_id,field,investment.chrono_valuation,mark_uid,steps[2]:schema_transform,schema_transform
f00110,investment.chrono_valuation,source_fund_id,field,investment.chrono_valuation,vehicle_code,steps[2]:schema_transform,schema_transform
f00111,investment.chrono_valuation,source_company_id,field,investment.chrono_valuation,asset_uid,steps[2]:schema_transform,schema_transform
f00112,investment.chrono_valuation,source_valued_on,field,investment.chrono_valuation,mark_date,steps[2]:schema_transform,schema_transform
f00113,investment.chrono_valuation,source_value_usd,field,investment.chrono_valuation,usd_fair_value,steps[2]:schema_transform,schema_transform
f00114,investment.chrono_valuation,source_method,field,investment.chrono_valuation,mark_method,steps[2]:schema_transform,schema_transform
f00115,investment.chrono_valuation,source_valuation_level,field,investment.chrono_valuation,fair_value_bucket,steps[2]:schema_transform,schema_transform
f00116,investment.chrono_valuation,source_confidence_score,field,investment.chrono_valuation,extraction_confidence,steps[2]:schema_transform,schema_transform
f00117,investment.chrono_valuation,valuation_source_system,expression,investment.chrono_valuation,'chrono',steps[3]:calculated_fields,calculated_fields
f00118,investment.deal_decision_current,decision_id,field,investment.deal_decision_current,decision_id,steps[2]:schema_transform,schema_transform
f00119,investment.deal_decision_current,deal_external_identity,field,investment.deal_decision_current,external_deal_id,steps[2]:schema_transform,schema_transform
f00120,investment.deal_decision_current,decision_outcome,field,investment.deal_decision_current,decision,steps[2]:schema_transform,schema_transform
f00121,investment.deal_decision_current,decision_conditions,field,investment.deal_decision_current,conditions,steps[2]:schema_transform,schema_transform
f00122,investment.deal_decision_current,decision_actor,field,investment.deal_decision_current,actor,steps[2]:schema_transform,schema_transform
f00123,investment.deal_decision_current,decision_decided_at,field,investment.deal_decision_current,decided_at,steps[2]:schema_transform,schema_transform
f00124,investment.deal_decision_current,decision_rank,field,investment.deal_decision_current,deal_external_identity,steps[3]:calculated_fields,calculated_fields
f00125,investment.deal_decision_current,decision_rank,field,investment.deal_decision_current,decision_decided_at,steps[3]:calculated_fields,calculated_fields
f00126,investment.deal_decision_current,decision_rank,field,investment.deal_decision_current,decision_id,steps[3]:calculated_fields,calculated_fields
f00127,investment.deal_decision_current,decision_is_final,field,investment.deal_decision_current,decision_outcome,steps[3]:calculated_fields,calculated_fields
f00128,investment.meridex_cash_flow,source_record_id,field,investment.meridex_cash_flow,cash_flow_id,steps[2]:schema_transform,schema_transform
f00129,investment.meridex_cash_flow,source_fund_id,field,investment.meridex_cash_flow,meridex_fund_id,steps[2]:schema_transform,schema_transform
f00130,investment.meridex_cash_flow,source_cash_flow_on,field,investment.meridex_cash_flow,cash_flow_date,steps[2]:schema_transform,schema_transform
f00131,investment.meridex_cash_flow,source_cash_flow_type,field,investment.meridex_cash_flow,cash_flow_type,steps[2]:schema_transform,schema_transform
f00132,investment.meridex_cash_flow,source_direction,field,investment.meridex_cash_flow,direction,steps[2]:schema_transform,schema_transform
f00133,investment.meridex_cash_flow,source_amount_usd,field,investment.meridex_cash_flow,amount_usd,steps[2]:schema_transform,schema_transform
f00134,investment.meridex_cash_flow,source_currency,field,investment.meridex_cash_flow,currency,steps[2]:schema_transform,schema_transform
f00135,investment.meridex_cash_flow,cash_flow_source_system,expression,investment.meridex_cash_flow,'meridex',steps[3]:calculated_fields,calculated_fields
f00136,investment.meridex_fund,source_fund_id,field,investment.meridex_fund,meridex_fund_id,steps[2]:schema_transform,schema_transform
f00137,investment.meridex_fund,source_name,field,investment.meridex_fund,fund_name,steps[2]:schema_transform,schema_transform
f00138,investment.meridex_fund,source_gp_name,field,investment.meridex_fund,gp_name,steps[2]:schema_transform,schema_transform
f00139,investment.meridex_fund,source_gp_lei,field,investment.meridex_fund,gp_lei,steps[2]:schema_transform,schema_transform
f00140,investment.meridex_fund,source_lei,field,investment.meridex_fund,fund_lei,steps[2]:schema_transform,schema_transform
f00141,investment.meridex_fund,source_external_id,field,investment.meridex_fund,shared_external_id,steps[2]:schema_transform,schema_transform
f00142,investment.meridex_fund,source_asset_class,field,investment.meridex_fund,asset_class,steps[2]:schema_transform,schema_transform
f00143,investment.meridex_fund,source_strategy,field,investment.meridex_fund,strategy,steps[2]:schema_transform,schema_transform
f00144,investment.meridex_fund,source_vintage_year,field,investment.meridex_fund,vintage_year,steps[2]:schema_transform,schema_transform
f00145,investment.meridex_fund,source_currency,field,investment.meridex_fund,currency,steps[2]:schema_transform,schema_transform
f00146,investment.meridex_fund,source_domicile,field,investment.meridex_fund,domicile,steps[2]:schema_transform,schema_transform
f00147,investment.meridex_fund,source_record_id,field,investment.meridex_fund,source_fund_id,steps[3]:calculated_fields,calculated_fields
f00148,investment.meridex_fund,source_family_name,expression,investment.meridex_fund,null,steps[3]:calculated_fields,calculated_fields
f00149,investment.meridex_fund,source_vehicle_type,expression,investment.meridex_fund,null,steps[3]:calculated_fields,calculated_fields
f00150,investment.meridex_fund,source_gp_id,expression,investment.meridex_fund,null,steps[3]:calculated_fields,calculated_fields
f00151,investment.meridex_fund,source_committed_capital_usd,expression,investment.meridex_fund,null,steps[3]:calculated_fields,calculated_fields
f00152,investment.meridex_fund,source_status,expression,investment.meridex_fund,null,steps[3]:calculated_fields,calculated_fields
f00153,investment.meridex_fund,source_reported_on,expression,investment.meridex_fund,date '2025-12-31',steps[3]:calculated_fields,calculated_fields
f00154,investment.meridex_fund,fund_source_system,expression,investment.meridex_fund,'meridex',steps[3]:calculated_fields,calculated_fields
f00155,investment.meridex_fund,fund_identity_key,field,investment.meridex_fund,source_fund_id,steps[3]:calculated_fields,calculated_fields
f00156,investment.meridex_fund,fund_normalised_name,rule,investment.meridex_fund,investment_normalised_name_v1@1,steps[3]:calculated_fields,calculated_fields
f00157,investment.meridex_fund,fund_normalised_gp_name,rule,investment.meridex_fund,investment_normalised_gp_name_v1@1,steps[3]:calculated_fields,calculated_fields
f00158,investment.meridex_fund,fund_lei,field,investment.meridex_fund,source_lei,steps[3]:calculated_fields,calculated_fields
f00159,investment.meridex_fund,fund_external_id,field,investment.meridex_fund,source_external_id,steps[3]:calculated_fields,calculated_fields
f00160,investment.meridex_fund,fund_gp_lei,field,investment.meridex_fund,source_gp_lei,steps[3]:calculated_fields,calculated_fields
f00161,investment.meridex_fund_nav,source_record_id,field,investment.meridex_fund_nav,nav_id,steps[2]:schema_transform,schema_transform
f00162,investment.meridex_fund_nav,source_fund_id,field,investment.meridex_fund_nav,meridex_fund_id,steps[2]:schema_transform,schema_transform
f00163,investment.meridex_fund_nav,source_valued_on,field,investment.meridex_fund_nav,nav_date,steps[2]:schema_transform,schema_transform
f00164,investment.meridex_fund_nav,source_nav_usd,field,investment.meridex_fund_nav,nav_usd,steps[2]:schema_transform,schema_transform
f00165,investment.meridex_fund_nav,source_called_capital_usd,field,investment.meridex_fund_nav,called_capital_usd,steps[2]:schema_transform,schema_transform
f00166,investment.meridex_fund_nav,source_distributed_capital_usd,field,investment.meridex_fund_nav,distributed_capital_usd,steps[2]:schema_transform,schema_transform
f00167,investment.meridex_fund_nav,nav_source_system,expression,investment.meridex_fund_nav,'meridex',steps[3]:calculated_fields,calculated_fields
f00168,investment.meridex_gp,source_record_id,field,investment.meridex_gp,meridex_fund_id,steps[2]:schema_transform,schema_transform
f00169,investment.meridex_gp,source_name,field,investment.meridex_gp,gp_name,steps[2]:schema_transform,schema_transform
f00170,investment.meridex_gp,source_lei,field,investment.meridex_gp,gp_lei,steps[2]:schema_transform,schema_transform
f00171,investment.meridex_gp,source_gp_id,expression,investment.meridex_gp,null,steps[3]:calculated_fields,calculated_fields
f00172,investment.meridex_gp,source_external_id,expression,investment.meridex_gp,null,steps[3]:calculated_fields,calculated_fields
f00173,investment.meridex_gp,source_domicile,expression,investment.meridex_gp,null,steps[3]:calculated_fields,calculated_fields
f00174,investment.meridex_gp,source_relationship_start_date,expression,investment.meridex_gp,null,steps[3]:calculated_fields,calculated_fields
f00175,investment.meridex_gp,source_reported_on,expression,investment.meridex_gp,date '2025-12-31',steps[3]:calculated_fields,calculated_fields
f00176,investment.meridex_gp,gp_source_system,expression,investment.meridex_gp,'meridex',steps[3]:calculated_fields,calculated_fields
f00177,investment.meridex_gp,gp_identity_key,field,investment.meridex_gp,source_record_id,steps[3]:calculated_fields,calculated_fields
f00178,investment.meridex_gp,gp_normalised_name,rule,investment.meridex_gp,investment_normalised_name_v1@1,steps[3]:calculated_fields,calculated_fields
f00179,investment.meridex_gp,gp_lei,field,investment.meridex_gp,source_lei,steps[3]:calculated_fields,calculated_fields
f00180,investment.meridex_gp,gp_external_id,expression,investment.meridex_gp,null,steps[3]:calculated_fields,calculated_fields
f00181,investment.meridex_legal_vehicle,source_vehicle_id,field,investment.meridex_legal_vehicle,vehicle_id,steps[2]:schema_transform,schema_transform
f00182,investment.meridex_legal_vehicle,source_fund_id,field,investment.meridex_legal_vehicle,meridex_fund_id,steps[2]:schema_transform,schema_transform
f00183,investment.meridex_legal_vehicle,source_parent_vehicle_id,field,investment.meridex_legal_vehicle,parent_vehicle_id,steps[2]:schema_transform,schema_transform
f00184,investment.meridex_legal_vehicle,source_name,field,investment.meridex_legal_vehicle,vehicle_name,steps[2]:schema_transform,schema_transform
f00185,investment.meridex_legal_vehicle,source_vehicle_type,field,investment.meridex_legal_vehicle,vehicle_type,steps[2]:schema_transform,schema_transform
f00186,investment.meridex_legal_vehicle,source_jurisdiction,field,investment.meridex_legal_vehicle,jurisdiction,steps[2]:schema_transform,schema_transform
f00187,investment.meridex_legal_vehicle,source_incorporation_text,field,investment.meridex_legal_vehicle,incorporation_date,steps[2]:schema_transform,schema_transform
f00188,investment.meridex_legal_vehicle,source_lei,field,investment.meridex_legal_vehicle,vehicle_lei,steps[2]:schema_transform,schema_transform
f00189,investment.meridex_legal_vehicle,source_record_id,field,investment.meridex_legal_vehicle,source_vehicle_id,steps[3]:calculated_fields,calculated_fields
f00190,investment.meridex_legal_vehicle,source_incorporated_on,field,investment.meridex_legal_vehicle,source_incorporation_text,steps[3]:calculated_fields,calculated_fields
f00191,investment.meridex_legal_vehicle,source_reported_on,expression,investment.meridex_legal_vehicle,date '2025-12-31',steps[3]:calculated_fields,calculated_fields
f00192,investment.meridex_legal_vehicle,vehicle_source_system,expression,investment.meridex_legal_vehicle,'meridex',steps[3]:calculated_fields,calculated_fields
f00193,investment.meridex_legal_vehicle,vehicle_identity_key,field,investment.meridex_legal_vehicle,source_vehicle_id,steps[3]:calculated_fields,calculated_fields
f00194,investment.meridex_legal_vehicle,vehicle_normalised_name,rule,investment.meridex_legal_vehicle,investment_normalised_name_v1@1,steps[3]:calculated_fields,calculated_fields
f00195,investment.meridex_legal_vehicle,vehicle_lei,field,investment.meridex_legal_vehicle,source_lei,steps[3]:calculated_fields,calculated_fields
f00196,investment.meridex_portfolio_company,source_company_id,field,investment.meridex_portfolio_company,meridex_company_id,steps[2]:schema_transform,schema_transform
f00197,investment.meridex_portfolio_company,source_fund_id,field,investment.meridex_portfolio_company,meridex_fund_id,steps[2]:schema_transform,schema_transform
f00198,investment.meridex_portfolio_company,source_name,field,investment.meridex_portfolio_company,company_name,steps[2]:schema_transform,schema_transform
f00199,investment.meridex_portfolio_company,source_lei,field,investment.meridex_portfolio_company,company_lei,steps[2]:schema_transform,schema_transform
f00200,investment.meridex_portfolio_company,source_external_id,field,investment.meridex_portfolio_company,shared_external_id,steps[2]:schema_transform,schema_transform
f00201,investment.meridex_portfolio_company,source_sector,field,investment.meridex_portfolio_company,sector,steps[2]:schema_transform,schema_transform
f00202,investment.meridex_portfolio_company,source_country,field,investment.meridex_portfolio_company,country,steps[2]:schema_transform,schema_transform
f00203,investment.meridex_portfolio_company,source_record_id,field,investment.meridex_portfolio_company,source_company_id,steps[3]:calculated_fields,calculated_fields
f00204,investment.meridex_portfolio_company,source_sub_sector,expression,investment.meridex_portfolio_company,null,steps[3]:calculated_fields,calculated_fields
f00205,investment.meridex_portfolio_company,source_status,expression,investment.meridex_portfolio_company,null,steps[3]:calculated_fields,calculated_fields
f00206,investment.meridex_portfolio_company,source_reported_on,expression,investment.meridex_portfolio_company,date '2025-12-31',steps[3]:calculated_fields,calculated_fields
f00207,investment.meridex_portfolio_company,company_source_system,expression,investment.meridex_portfolio_company,'meridex',steps[3]:calculated_fields,calculated_fields
f00208,investment.meridex_portfolio_company,company_identity_key,field,investment.meridex_portfolio_company,source_company_id,steps[3]:calculated_fields,calculated_fields
f00209,investment.meridex_portfolio_company,company_normalised_name,rule,investment.meridex_portfolio_company,investment_normalised_name_v1@1,steps[3]:calculated_fields,calculated_fields
f00210,investment.meridex_portfolio_company,company_lei,field,investment.meridex_portfolio_company,source_lei,steps[3]:calculated_fields,calculated_fields
f00211,investment.meridex_portfolio_company,company_external_id,field,investment.meridex_portfolio_company,source_external_id,steps[3]:calculated_fields,calculated_fields
f00212,investment.origo_deal,source_record_id,field,investment.origo_deal,deal_id,steps[2]:schema_transform,schema_transform
f00213,investment.origo_deal,source_external_deal_id,field,investment.origo_deal,external_deal_id,steps[2]:schema_transform,schema_transform
f00214,investment.origo_deal,source_name,field,investment.origo_deal,deal_name,steps[2]:schema_transform,schema_transform
f00215,investment.origo_deal,source_target_entity_id,field,investment.origo_deal,target_entity_id,steps[2]:schema_transform,schema_transform
f00216,investment.origo_deal,source_strategy,field,investment.origo_deal,strategy,steps[2]:schema_transform,schema_transform
f00217,investment.origo_deal,source_originating_team,field,investment.origo_deal,originating_team,steps[2]:schema_transform,schema_transform
f00218,investment.origo_deal,source_channel,field,investment.origo_deal,source_channel,steps[2]:schema_transform,schema_transform
f00219,investment.origo_deal,source_sourced_on,field,investment.origo_deal,sourced_date,steps[2]:schema_transform,schema_transform
f00220,investment.origo_deal,source_structure,field,investment.origo_deal,structure,steps[2]:schema_transform,schema_transform
f00221,investment.origo_deal,source_converted_record_type,field,investment.origo_deal,converted_record_type,steps[2]:schema_transform,schema_transform
f00222,investment.origo_deal,source_converted_record_id,field,investment.origo_deal,converted_record_id,steps[2]:schema_transform,schema_transform
f00223,investment.origo_deal,deal_source_system,expression,investment.origo_deal,'origo',steps[3]:calculated_fields,calculated_fields
f00224,investment.origo_deal,deal_identity_key,field,investment.origo_deal,source_record_id,steps[3]:calculated_fields,calculated_fields
